rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
Sushi Tengoku,Pondok Indah,4.5,(739 Ulasan),"Jl. Radio Dalam Raya No. F11-11A, Pondok Indah, Jakarta","Jepang, Sushi",Harga untuk 2:Rp300.000,"Jam:                                      Tutup (Sen),11h - 23h (Sel-Min)"
Kikugawa,Cikini,4.5,(490 Ulasan),"Jl. Cikini 4 No. 13, Cikini, Jakarta","Jepang, Sushi",Harga untuk 2:Rp250.000,"Jam:                                      11h 30m - 15h, 17h - 21h (Sen-Min)"
Kira - Kira Ginza,Melawai,4.3,(431 Ulasan),"Jl. Melawai 9 No. 30, Melawai, Jakarta","Jepang, Sushi, Ramen",Harga untuk 2:Rp320.000,"Jam:                                      11h 30m - 23h 30m (Sen-Sab),11h 30m - 21h 30m (Min)"
Sushi Matsu,Senopati,4.5,"(1,087 Ulasan)","Jl. Suryo No.2, Senopati, Jakarta","Sushi, Jepang",Harga untuk 2:Rp250.000,"Jam:                                      10h 30m - 14h 30m, 17h - 21h 30m (Sen-Jum),10h - 21h..."
Sumire - Grand Hyatt,"Grand Hyatt, Thamrin",4.4,(260 Ulasan),"Grand Hyatt, Jl. M. H. Thamrin, Thamrin, Jakarta","Jepang, Sushi",Harga untuk 2:Rp1.000.000,Jam:                                      12h - 21h (Sen-Min)
Kyoto Gion Cafe,Kemang,4.2,(110 Ulasan),"Jl. Kemang Raya No. 8B, Kemang, Jakarta","Jepang, Sushi",Harga untuk 2:Rp200.000,"Jam:                                      11h 30m - 19h (Sen, Sel, Kam, Jum), Tutup (Rab),11h..."
Umaku,Pondok Aren,4.0,(76 Ulasan),"Ruko Sentra Menteng, Jl. Moh. Husni Thamrin, Blok MN No. 1, Pondok Aren, Tangerang","Jepang, Sushi, Ramen",Harga untuk 2:Rp200.000,"Jam:                                      Tutup (Sen),11h - 20h (Sel-Min)"
Sleepless Owls,Tebet,4.0,(457 Ulasan),"Jl. Tebet Utara Dalam No. 27, Tebet, Jakarta 12820","Makanan Jalanan, Indonesia, Jepang, Sushi, Barat, Kopi",Harga untuk 2:Rp150.000,Jam:                                      7h - 3h (Sen-Min)
Zenbu,"Central Park, Tanjung Duren",4.4,(797 Ulasan),"Central Park, Lantai Lower Ground, Jl. Letjen S. Parman, Tanjung Duren, Jakarta","Sushi, Ramen, Jepang",Harga untuk 2:Rp200.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Matsu,"Ruko Golden Madrid, Serpong",4.6,(534 Ulasan),"Ruko Golden Madrid 2, Jl. Letnan Sutopo, Blok G6, Serpong, Tangerang","Sushi, Jepang",Harga untuk 2:Rp200.000,"Jam:                                      11h - 21h (Sen-Jum),10h - 21h 30m (Sab-Min)"
Genki Sushi,"Lippo Mall Puri @ St. Moritz, Puri Indah",4.1,(227 Ulasan),"Lippo Mall Puri @ The St. Moritz, Lantai Lower Ground, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta","Jepang, Sushi",Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
Baiza Sushi,Kemang,3.7,(39 Ulasan),"Jl. Kemang Utara No. 29, Kemang, Jakarta",Sushi,Harga untuk 2:Rp130.000,Jam:                                      11h - 20h (Sen-Min)
Yellowfin,Senopati,4.2,(396 Ulasan),"Jl. Senopati No. 42, Senopati, Jakarta","Sushi, Jepang",Harga untuk 2:Rp400.000,"Jam:                                      11h - 1h (Sen, Sel, Rab, Kam, Min), 11h - 2h (Jum-Sab)"
BAWBAW カフェ,Kelapa Gading,4.1,(179 Ulasan),"Jl. Kelapa Puyuh Raya, Blok Z2 No. 1, Kelapa Gading, Jakarta 14240","Sushi, Jepang, Bubble Tea",Harga untuk 2:Rp150.000,"Jam:                                      Tutup (Sen),10h - 22h (Sel-Min)"
Shabu Shabu House,"Plaza Indonesia, Thamrin",4.5,(625 Ulasan),"Plaza Indonesia, Lantai 1, Jl. MH Thamrin, Thamrin, Jakarta","Jepang, Ramen, Sushi",Harga untuk 2:Rp350.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Sei,"Plaza Senayan, Senayan",4.5,(347 Ulasan),"Plaza Senayan, Lantai 4, Jl. Asia Afrika, Senayan, Jakarta","Jepang, Sushi",Harga untuk 2:Rp350.000,"Jam:                                      11h 30m - 14h, 17h 30m - 22h (Sen-Jum),11h 30m - 22h..."
The Japanese - Sari Pacific Jakarta,"Sari Pacific Hotel, Thamrin",4.4,(273 Ulasan),"Sari Pacific Hotel, Jl. M. H. Thamrin No. 6, Thamrin, Jakarta 10340","Sushi, Ramen, Jepang",Harga untuk 2:Rp650.000,Jam:                                      11h - 21h (Sen-Min)
Poke Sushi,"Ruko Dharmawangsa Square, Dharmawangsa",4.0,(322 Ulasan),"Ruko Dharmawangsa Square, Jl. Dharmawangsa VI No. 6, Dharmawangsa, Jakarta","Sushi, Jepang",Harga untuk 2:Rp400.000,"Jam:                                      11h 30m - 21h 30m (Sen, Sel, Rab, Kam, Min), 11h 30m..."
Tokyo Belly,"Grand Indonesia Mall, Thamrin",3.9,"(1,153 Ulasan)","Grand Indonesia Mall, West Mall, Lantai 3A, Jl. M.H. Thamrin No. 1, Thamrin, Jakarta","Sushi, Jepang, Ramen",Harga untuk 2:Rp200.000,Jam:                                      11h - 20h (Sen-Min)
Tom Sushi,Bekasi Selatan,3.8,(58 Ulasan),"Grand Galaxy Park, Lantai Ground, Jl. Grand Galaxy Boulevard, Bekasi Selatan, Bekasi","Jepang, Sushi",Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Yoshi Izakaya - Gran Melia,"Gran Melia Hotel, Kuningan",3.9,(80 Ulasan),"Gran Melia Hotel, Jl. HR Rasuna Said, Kuningan, Jakarta","Jepang, Sushi",Harga untuk 2:Rp1.200.000,"Jam:                                      11h 30m - 14h 30m, 18h - 22h 30m (Sen-Min)"
Marufuku,Melawai,3.9,(111 Ulasan),"Jl. Melawai 6 No. 11, Melawai, Jakarta","Jepang, Sushi",Harga untuk 2:Rp300.000,Jam:                                      16h - 24h (Sen-Min)
Sumibian,"Plaza Chase, Sudirman",4.2,(134 Ulasan),"Plaza Chase, Lantai 25, Jl. Jenderal Sudirman, Sudirman, Jakarta",Sushi,Harga untuk 2:Rp500.000,"Jam:                                      11h 30m - 14h 30m, 17h - 23h (Sen-Min)"
Izakaya Taichan,Melawai,3.5,(64 Ulasan),"Jl. Melawai 6 No. 5, Melawai, Jakarta","Jepang, Ramen, Sushi",Harga untuk 2:Rp300.000,Jam:                                      11h - 1h (Sen-Min)
Kyoto Tei,Bogor Timur,4.3,(140 Ulasan),"Jl. Raya Pajajaran No. 50F, Bogor Timur, Bogor","Jepang, Sushi",Harga untuk 2:Rp200.000,Jam:                                      11h - 21h (Sen-Min)
Pesto Autentico,"The Breeze, Serpong",3.9,(148 Ulasan),"Green Office Park BSD City, The Breeze, Jl. Grand Boulevard BSD, Serpong, Tangerang","Itali, Steak, Sushi",Harga untuk 2:Rp450.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Corner,"Ruko Taman Surya, Cengkareng",4.0,(92 Ulasan),"Ruko Permata Taman Palem, Blok D2 No. 11, Jl. Taman Palem Lestari, Cengkareng, Jakarta","Sushi, Jepang",Harga untuk 2:Rp70.000,Jam:                                      10h - 22h (Sen-Min)
Salad & Sushi 368,"Plaza Blok M, Blok M",4.1,(56 Ulasan),"Plaza Blok M, Lantai 6, Jl. Bulungan No. 76, Blok M, Jakarta",Sushi,Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Ippeke Komachi,"Mall Kelapa Gading, Kelapa Gading",4.6,(757 Ulasan),"Mall Kelapa Gading 3, Lantai Ground, Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta","Jepang, Sushi",Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
Takumi Robata,"The MAJ Senayan, Senayan",4.1,(136 Ulasan),"The MAJ Senayan, Senayan National Golf Club, Jl. Asia Afrika Pintu IX, Senayan, Jakarta","Jepang, Sushi",Harga untuk 2:Rp700.000,"Jam:                                      11h - 15h, 17h - 20h (Sen-Min)"
Warung Pringga,Bintaro,3.7,(47 Ulasan),"Jl. Kesehatan Raya No. 5C, Bintaro, Jakarta","Jepang, Sushi, Itali, Indonesia",Harga untuk 2:Rp120.000,"Jam:                                      11h - 22h (Sen, Sel, Rab, Kam, Sab, Min), 13h - 22h..."
Sushi Enju,Pondok Aren,3.7,(64 Ulasan),"Jl. Bintaro Utama 5, blok EA 2 No.49, Pondok Aren, Tangerang","Jepang, Sushi",Harga untuk 2:Rp120.000,"Jam:                                      Tutup (Sen),11h - 15h, 17h - 22h (Sel-Kam),11h - 22h..."
Sushigroove,"Kota Kasablanka, Tebet",3.9,(303 Ulasan),"Kota Kasablanka, Lantai Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta","Jepang, Sushi",Harga untuk 2:Rp250.000,Jam:                                      11h - 20h (Sen-Min)
Midori,Bogor Tengah,4.0,(174 Ulasan),"Jl. Pajajaran No. 53, Bogor Tengah, Bogor","Jepang, Ramen, Sushi",Harga untuk 2:Rp200.000,Jam:                                      10h - 22h (Sen-Min)
Shigeru,"Lippo Mall Puri @ St. Moritz, Puri Indah",3.5,(13 Ulasan),"Lippo Mall Puri @ The St. Moritz, Lantai Lower Ground, Takashita Street, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta","Sushi, Jepang",Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Kaihomaru,Melawai,4.1,(119 Ulasan),"Jl. Melawai 6 No. 23, Melawai, Jakarta",Sushi,Harga untuk 2:Rp350.000,"Jam:                                      11h 30m - 14h, 18h - 22h 30m (Sen-Jum),11h 30m - 14h..."
En Japanese Dining,"Senayan City, Senayan",4.3,(451 Ulasan),"Senayan City, Lantai Lower Ground, Crystal Lagoon, Jl. Asia Afrika, Senayan, Jakarta","Sushi, Jepang",Harga untuk 2:Rp650.000,Jam:                                      11h 30m - 22h 30m (Sen-Min)
Hanei Sushi,"Pondok Indah Mall 1, Pondok Indah",3.9,(148 Ulasan),"Pondok Indah Mall 1, Lantai 2, Jl. Metro Pondok Indah, Pondok Indah, Jakarta","Jepang, Sushi",Harga untuk 2:Rp300.000,Jam:                                      11h - 22h (Sen-Min)
Kabuto Sushi dan Soba,"Ruko Crown Golf, Pantai Indah Kapuk",4.2,(391 Ulasan),"Ruko Crown Golf, Blok B No. 2, Bukit Golf Mediterania, Jl. Marina Indah Raya, Pantai Indah Kapuk, Jakarta","Jepang, Sushi",Harga untuk 2:Rp150.000,"Jam:                                      11h - 22h (Sen-Jum),10h - 22h (Sab-Min)"
Washoku Sato,Pecenongan,4.1,(187 Ulasan),"Jl. Batu Tulis Raya No. 41, Pecenongan, Jakarta","Jepang, Sushi, Ramen",Harga untuk 2:Rp160.000,Jam:                                      10h - 22h (Sen-Min)
Ben Tori,Sawah Besar,3.8,(64 Ulasan),"Jl. Mangga Besar Raya No. 98B, Sawah Besar, Jakarta","Jepang, Ramen, Sushi",Harga untuk 2:Rp80.000,Jam:                                      10h - 21h (Sen-Min)
Kinokawa,"Fairgrounds, SCBD",4.0,(77 Ulasan),"Fairgrounds, SCBD Lot 14, Jl. Jenderal Sudirman, SCBD, Jakarta","Jepang, Sushi",Harga untuk 2:Rp300.000,"Jam:                                      11h 30m - 14h 30m, 18h - 22h (Sen-Min)"
Tako 'n Sushi Box,"TerasKota, Serpong",3.5,(35 Ulasan),"TerasKota, Lantai 1, Jl. Pahlawan Seribu, Serpong, Tangerang","Jepang, Sushi",Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
NAKA NAKAYA,"STC Senayan, Senayan",4.3,(201 Ulasan),"STC Senayan, Lantai Ground, Jl. Asia Afrika, Senayan, Jakarta","Jepang, Sushi",Harga untuk 2:Rp300.000,"Jam:                                      11h 30m - 14h 30m, 17h 30m - 22h 30m (Sen-Min)"
Sushi Naru,Serpong Utara,4.1,(238 Ulasan),"Ruko Paramount Centre, Blok A No. 10, Jl. Raya Kelapa Dua, Gading Serpong, Serpong Utara, Serpong","Sushi, Jepang",Harga untuk 2:Rp200.000,Jam:                                      11h - 21h (Sen-Min)
Haikara Sushi,Melawai,3.8,(89 Ulasan),"Jl. Barito 2 No. 9, Melawai, Jakarta","Jepang, Sushi, Ramen",Harga untuk 2:Rp240.000,Jam:                                      10h - 21h (Sen-Min)
Ichiban Sushi,"Mall@Bassura City, Jatinegara",3.5,(72 Ulasan),"Mall@Bassura City, Lantai Ground, Jl. Jendral Basuki Rahmat No. 1, Jatinegara, Jakarta","Sushi, Ramen, Jepang",Harga untuk 2:Rp200.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Man,Kelapa Gading,4.1,(194 Ulasan),"Jl. Boulevard Raya Kelapa Gading, Blok H4 No. 4, Kelapa Gading, Jakarta","Sushi, Jepang",Harga untuk 2:Rp200.000,Jam:                                      11h - 22h (Sen-Min)
Sushi Oji by Yellow Fin,Meruya,4.0,(119 Ulasan),"Jl. Taman Aries Raya No. 3B, Meruya, Jakarta","Jepang, Sushi",Harga untuk 2:Rp300.000,Jam:                                      10h - 23h (Sen-Min)
Sushi Kawana,Melawai,4.1,(68 Ulasan),"Jl. Melawai 9 No. 18, Melawai, Jakarta","Jepang, Sushi",Harga untuk 2:Rp700.000,Jam:                                      18h - 23h (Sen-Min)
Tatemukai,"Grand Indonesia Mall, Thamrin",4.3,(179 Ulasan),"Grand Indonesia Mall, Lantai 3A, Sky Bridge, Jl. M.H. Thamrin No. 1, Thamrin, Jakarta","Jepang, Sushi",Harga untuk 2:Rp3.500.000,"Jam:                                      11h 30m - 15h, 18h 30m - 22h (Sen-Min)"
Taichan,"Plaza Senayan, Senayan",4.2,(233 Ulasan),"Plaza Senayan, Lantai 3, Jl. Asia Afrika, Senayan, Jakarta","Jepang, Sushi",Harga untuk 2:Rp200.000,Jam:                                      11h - 22h (Sen-Min)
Sushi APA,Kelapa Gading,4.0,(139 Ulasan),"Jl. Boulevard Kelapa Gading, Blok FW1 No. 30-31, Kelapa Gading, Jakarta","Jepang, Sushi",Harga untuk 2:Rp120.000,"Jam:                                      11h - 15h, 17h 30m - 22h (Sen-Min)"
Sushi Ichi - Pullman Jakarta Indonesia,"Pullman Jakarta Indonesia, Thamrin",4.0,(59 Ulasan),"Pullman Jakarta Indonesia, Jl. M.H. Thamrin 59, Thamrin, Jakarta","Sushi, Jepang",Harga untuk 2:Rp3.000.000,"Jam:                                      Tutup (Sen),12h - 14h 30m, 18h - 22h (Sel-Min)"
AEON Sushi,"AEON Mall, Cakung",4.3,(201 Ulasan),"AEON Mall, Lantai Ground Jl. Jakarta Garden City, Cakung, Jakarta","Sushi, Jepang",Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
Nama Sushi by Sushi Masa,"Bay Walk Mall, Pluit",4.2,(335 Ulasan),"Bay Walk Mall, Lantai Ground, Jl. Pluit Karang Ayu, Pluit, Jakarta","Sushi, Jepang",Harga untuk 2:Rp400.000,Jam:                                      10h - 22h (Sen-Min)
Aoki Japanese Cuisine - Hotel Gran Mahakam,"Hotel Gran Mahakam, Blok M",4.1,(136 Ulasan),"Hotel Gran Mahakam, Jl. Mahakam I No. 8, Blok M, Jakarta","Sushi, Jepang",Harga untuk 2:Rp550.000,"Jam:                                      12h - 14h 30m, 18h - 23h 30m (Sen-Sab),11h 30m -..."
Sushimas,Kramat Jati,4.1,(180 Ulasan),"Jl. Raya Tengah No. 14, RT.14/RW.03, Kampung tengah, Kramat Jati, Jakarta 13540","Sushi, Jepang",Harga untuk 2:Rp100.000,Jam:                                      12h - 21h (Sen-Min)
Negiya Dining,"Pacific Place, SCBD",4.4,(908 Ulasan),"Pacific Place Mall, Lantai 5, Jl. Jenderal Sudirman, SCBD, Jakarta","Jepang, Ramen, Sushi",Harga untuk 2:Rp200.000,"Jam:                                      10h 2m - 20h (Sen),10h - 20h (Sel-Sab),10h - 22h (Min)"
Izakaya Kai,Pluit,4.1,(287 Ulasan),"Jl. Pluit Kencana No. 59, Pluit, Jakarta","Jepang, Sushi",Harga untuk 2:Rp380.000,Jam:                                      10h - 22h (Sen-Min)
Ootoya,"Pondok Indah Mall 2, Pondok Indah",3.5,(55 Ulasan),"Pondok Indah Mall 2, Lantai 3, Jl. Metro Pondok Indah, Pondok Indah, Jakarta","Jepang, Sushi",Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
Miyagi,"Lotte Shopping Avenue, Karet",4.4,(509 Ulasan),"Ciputra World, Lotte Shopping Avenue, Lantai 3, Jl. Prof Dr Satrio, Karet, Jakarta","Jepang, Sushi",Harga untuk 2:Rp175.000,Jam:                                      11h - 22h (Sen-Min)
Akatama,"PIK Avenue Mall, Pantai Indah Kapuk",4.1,(255 Ulasan),"PIK Avenue Mall, Lantai Ground, Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta","Jepang, Sushi",Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
Sushi! Kiosk,"Puri Indah Mall, Puri Indah",4.1,(155 Ulasan),"Puri Indah Mall, Lantai Ground, Jl. Puri Indah Raya, Puri Indah, Jakarta","Jepang, Sushi",Harga untuk 2:Rp130.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Itoph,Kelapa Gading,3.9,(330 Ulasan),"Jl. Boulevard Raya Blok WD 2 No. 19, Kelapa Gading, Jakarta","Jepang, Sushi",Harga untuk 2:Rp100.000,"Jam:                                      11h - 22h (Sen, Sel, Rab, Kam, Min), 11h - 23h..."
Ootoya,"Lotte Shopping Avenue, Karet",4.1,(176 Ulasan),"Ciputra World, Lotte Shopping Avenue, Lantai 3, Jl. Prof Dr Satrio, Karet, Jakarta","Jepang, Sushi",Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
Katsura,"Plaza Senayan, Senayan",3.9,(115 Ulasan),"Plaza Senayan, Lantai 4, Jl. Asia Afrika, Senayan, Jakarta","Jepang, Sushi",Harga untuk 2:Rp400.000,"Jam:                                      11h 30m - 22h (Sen-Jum),11h 30m - 22h 30m (Sab-Min)"
Nishimura - Shangri-La Hotel,"Shangri-La Hotel, Jakarta, Sudirman",3.9,(67 Ulasan),"Shangri-La Hotel, Jl Jend Sudirman kav. 1, Sudirman, Jakarta","Jepang, Sushi",Harga untuk 2:Rp650.000,"Jam:                                      11h 30m - 14h, 18h - 22h 30m (Sen-Min)"
Pokke,Cinere,4.0,(105 Ulasan),"Jl. Karang Tengah Raya No. 103, Cinere, Depok","Jepang, Sushi",Harga untuk 2:Rp150.000,Jam:                                      15h - 22h (Sen-Min)
Torico Restaurant,"Kalibata City Square, Kalibata",3.6,(43 Ulasan),"Kalibata City Square, Lantai Lower Ground, Jl. Kalibata Raya No. 1, Kalibata, Jakarta","Jepang, Sushi",Harga untuk 2:Rp140.000,Jam:                                      10h - 22h (Sen-Min)
Honoka,Melawai,3.9,(36 Ulasan),"Jl. Panglima Polim Raya No. 5B, Melawai, Jakarta","Sushi, Jepang",Harga untuk 2:Rp300.000,"Jam:                                      11h 30m - 14h, 15h 30m - 22h 30m (Sen-Min)"
Fukumimi,"Citywalk Sudirman, Sudirman",4.0,(73 Ulasan),"Citywalk Sudirman, Lantai 1, Jl. KH Mas Mansyur, Sudirman, Jakarta","Jepang, Sushi",Harga untuk 2:Rp200.000,Jam:                                      10h - 22h (Sen-Min)
Sushikaki,Bogor Tengah,3.7,(65 Ulasan),"Jl. Raya Pajajaran No. 21C, Bogor Tengah, Bogor","Sushi, Jepang",Harga untuk 2:Rp100.000,Jam:                                      9h - 21h (Sen-Min)
Ichiraku Ramen,Kec. Tangerang,3.8,(79 Ulasan),"Jl. Kisamaun No. 130, Kec. Tangerang, Tangerang","Jepang, Sushi, Ramen",Harga untuk 2:Rp100.000,Jam:                                      15h - 22h (Sen-Min)
Hiroya Japanese Restaurant,"Universitas Indonesia, Beji",4.1,(80 Ulasan),"Universitas Indonesia, PSJ, Jl. Prof. Dr. Selo Soemardjan, Beji, Depok","Jepang, Sushi, Ramen",Harga untuk 2:Rp170.000,"Jam:                                      11h - 16h (Sen-Jum),11h - 15h (Sab),Tutup (Min)"
Zhuma,"Senayan City, Senayan",3.6,(223 Ulasan),"Senayan City, Lantai Lower Ground, Jl. Asia Afrika, Senayan, Jakarta","Jepang, Sushi, Ramen",Harga untuk 2:Rp300.000,"Jam:                                      11h - 23h (Sen, Sel, Rab, Kam, Min), 11h - 24h..."
Shabu Masa,Pluit,3.6,(27 Ulasan),"Jl. Tuna Raya No. 5, Pluit, Jakarta","Jepang, Sushi",Harga untuk 2:Rp250.000,"Jam:                                      11h 30m - 14h, 18h - 22h (Sen-Jum),11h - 15h, 17h..."
JJ Ramen,Cilandak,4.0,(90 Ulasan),"Jl. Ampera Raya No. 15, Cilandak, Jakarta","Jepang, Ramen, Sushi",Harga untuk 2:Rp80.000,"Jam:                                      11h - 22h (Sen-Kam),12h - 24h (Jum-Min)"
Shabu Nobu Sushi Nobu,"Dharmawangsa Square, Dharmawangsa",3.7,(103 Ulasan),"Dharmawangsa Square, Lantai 1, Jl. Dharmawangsa VI, Dharmawangsa, Jakarta","Jepang, Sushi",Harga untuk 2:Rp300.000,Jam:                                      11h - 21h (Sen-Min)
Sushi Knight,"ITC Kuningan, Kuningan",3.8,(36 Ulasan),"ITC Kuningan, Lantai 4, Jembatan II, Jl. Prof Dr Satrio, Kuningan, Jakarta",Sushi,Harga untuk 2:Rp100.000,Jam:                                      9h - 21h (Sen-Min)
Osuushi,"Ruko Perumahan Maharaja, Pancoran Mas",3.9,(75 Ulasan),"Ruko Perumahan Maharaja, Blok A1 No. 8, Jl. Raya Sawangan, Pancoran Mas, Depok","Sushi, Jepang",Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
Yasami Japanese Restaurant,Fatmawati,3.6,(12 Ulasan),"Jl. Fatmawati Raya No. 100D, Fatmawati, Jakarta 12430","Jepang, Sushi",Harga untuk 2:Rp200.000,"Jam:                                      11h - 22h (Sen-Jum),Tutup (Sab-Min)"
Koinobori,Mampang Prapatan,3.9,(52 Ulasan),"Jl. Duren Tiga Raya No. 51, Mampang Prapatan, Jakarta","Sushi, Jepang",Harga untuk 2:Rp150.000,Jam:                                      11h - 21h (Sen-Min)
Hashi,"Mall Artha Gading, Kelapa Gading",4.0,(90 Ulasan),"Mall Artha Gading, Lantai 2, Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta",Sushi,Harga untuk 2:Rp90.000,Jam:                                      10h - 21h (Sen-Min)
Nakayoshi Sushi,"PIK Avenue Mall, Pantai Indah Kapuk",3.6,(73 Ulasan),"PIK Avenue Mall, Lantai 2, Foodtown Dotonburi, Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta","Jepang, Sushi",Harga untuk 2:Rp130.000,Jam:                                      10h - 22h (Sen-Min)
Ippachi,"Wisma BNI 46, Sudirman",3.9,(32 Ulasan),"Wisma BNI 46, Lantai Ground, Jl. Jenderal Sudirman, Sudirman, Jakarta","Jepang, Sushi",Harga untuk 2:Rp600.000,"Jam:                                      11h 30m - 15h, 17h 30m - 22h (Sen-Min)"
Shukufuku Gyu Okazu,Lebak Bulus,3.8,(4 Ulasan),"Jl. Lebak Bulus Raya, Lebak Bulus, Jakarta",Sushi,Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Tshay,"Ampera Garden, Cilandak",3.7,(15 Ulasan),"Ampera Garden, Jl. Ampera Raya No. 119, Cilandak, Jakarta",Sushi,Harga untuk 2:Rp150.000,Jam:                                      10h - 23h (Sen-Min)
Maki-San,"Plaza Indonesia, Thamrin",4.0,(61 Ulasan),"Plaza Indonesia, Lantai Basement, Jl. MH. Thamrin, Thamrin, Jakarta 10350","Jepang, Sushi",Harga untuk 2:Rp150.000,Jam:                                      10h - 22h (Sen-Min)
J-Sushi,"Pluit Village, Pluit",3.8,(149 Ulasan),"Pluit Village, Lantai 1, Jl. Pluit Indah Raya, Pluit, Jakarta","Sushi, Jepang",Harga untuk 2:Rp200.000,Jam:                                      10h - 22h (Sen-Min)
Raito Sushi Ramen Bar,Bogor Tengah,3.2,(22 Ulasan),"Jl. Raya Pakuan No. 38, Bogor Tengah, Bogor","Jepang, Sushi, Ramen",Harga untuk 2:Rp80.000,Jam:                                      8h - 22h (Sen-Min)
Takarajima,Fatmawati,3.3,(70 Ulasan),"Ruko Hasta Griya, Jl. BDN Raya No. 7, Fatmawati, Jakarta","Jepang, Sushi, Ramen",Harga untuk 2:Rp250.000,"Jam:                                      10h - 22h (Sen, Sel, Rab, Kam, Jum, Min), 10h - 23h..."
Tanoshi Sushi,"D'Hoek, Bintaro",3.3,(7 Ulasan),"D'Hoek, Jl. Bintaro Utama, Bintaro, Jakarta","Jepang, Sushi",Harga untuk 2:Rp70.000,Jam:                                      10h - 22h (Sen-Min)
